entity_name	entity_name_fb	freebase_mid
['1971-02-04']	not_linked	not_linked
['1971-10-13']	not_linked	not_linked
['1972']	not_linked	not_linked
['1973 NBA Finals']	not_linked	not_linked
['1975 NBA Finals']	not_linked	not_linked
['1975-04-30']	not_linked	not_linked
['1976-08-10']	not_linked	not_linked
['1976–77 FA Cup']	not_linked	not_linked
['1977']	not_linked	not_linked
['1977-07-13']	not_linked	not_linked
['1980']	not_linked	not_linked
['1982 World Series']	not_linked	not_linked
['1983 World Series']	1985_Major_League_Baseball_season	/m/027pwzc
['1984 NBA draft']	2004_NBA_draft	/m/038981
['1984']	not_linked	not_linked
['1985–86 NBA season']	1985_Major_League_Baseball_season	/m/027pwzc
['1986 World Series']	1985_Major_League_Baseball_season	/m/027pwzc
['1987 NFL season']	1985_Major_League_Baseball_season	/m/027pwzc
['1987']	not_linked	not_linked
['1988 World Series']	not_linked	not_linked
['1988']	not_linked	not_linked
['1988-10']	not_linked	not_linked
['1988-11-08']	not_linked	not_linked
['1989 Loma Prieta earthquake']	not_linked	not_linked
['1990 Major League Baseball Draft']	1995_Major_League_Baseball_Draft	/m/047dpm0
['1990']	not_linked	not_linked
['1991 NBA Finals']	not_linked	not_linked
['1991']	not_linked	not_linked
['1992 NBA draft']	2004_NBA_draft	/m/038981
['1992–93 NBA season']	not_linked	not_linked
['1994 Formula One season']	not_linked	not_linked
['1994 Major League Baseball Season']	1985_Major_League_Baseball_season	/m/027pwzc
['1994 NBA Finals']	not_linked	not_linked
['1995 World Series']	not_linked	not_linked
['1995']	not_linked	not_linked
['1996 Summer Olympics']	1996_Summer_Olympics	/m/0jhn7
['1996 UEFA Champions League Final']	not_linked	not_linked
['1996']	not_linked	not_linked
['1997–98 NBA season']	not_linked	not_linked
['1998 NBA Finals']	not_linked	not_linked
['1998 NFL draft']	2004_NFL_Draft	/m/03nt7j
['1999 NFL draft']	2004_NFL_Draft	/m/03nt7j
['2000']	not_linked	not_linked
['2000–01 NBA season']	not_linked	not_linked
['2001 Major League Baseball Season']	2000_Major_League_Baseball_season	/m/026fmqm
['2001 World Series']	2004_Major_League_Baseball_season	/m/025ygqm
['2001-01-20']	not_linked	not_linked
['2001-04-19']	not_linked	not_linked
['2001-08-03']	not_linked	not_linked
['2002 Bali bombings']	not_linked	not_linked
['2002 Major League Baseball Season']	2000_Major_League_Baseball_season	/m/026fmqm
['2002']	not_linked	not_linked
['2002-10-12']	not_linked	not_linked
['2003 AFC Championship Game']	not_linked	not_linked
['2003 NBA draft']	2003_NBA_draft	/m/038c0q
['2003 World Series']	2003_Major_League_Baseball_season	/m/025ygws
['2003 invasion of Iraq']	2003_invasion_of_Iraq	/m/01cpp0
['2003-01-02']	not_linked	not_linked
['2003-03-20']	not_linked	not_linked
['2003-11-18']	not_linked	not_linked
['2003–04 NBA season']	not_linked	not_linked
['2004 NBA Finals']	not_linked	not_linked
['2005 NFL draft']	2005_NFL_Draft	/m/05vsb7
['2005']	not_linked	not_linked
['2005-09-25']	not_linked	not_linked
['2006 NBA draft']	2006_NBA_draft	/m/09th87
['2006 NFL draft']	2006_NFL_Draft	/m/09l0x9
['2006 Stanley Cup Finals']	not_linked	not_linked
['2006']	not_linked	not_linked
['2007 NBA draft']	2007_NBA_draft	/m/0f4vx0
['2007 World Series']	2007_Major_League_Baseball_season	/m/0285r5d
['2007-07-21']	not_linked	not_linked
['2007–08 NBA season']	not_linked	not_linked
['2008 Summer Olympics']	2008_Summer_Olympics	/m/0kbws
['2008']	not_linked	not_linked
['2008-04-27']	not_linked	not_linked
['2009 Nobel Peace Prize']	Nobel_Peace_Prize	/m/05f3q
['2009']	2010	/m/04gcyg
['2009-04-23']	not_linked	not_linked
['2009-12-28']	not_linked	not_linked
['2010 Chile earthquake']	not_linked	not_linked
['2010 NBA Finals']	not_linked	not_linked
['2010 Stanley Cup Finals']	not_linked	not_linked
['2011 Atlantic hurricane season']	The_Hurricane	/m/0170_p
['2011 Christchurch earthquake']	not_linked	not_linked
['2011 military intervention in Libya']	Libyan_Civil_War	/m/0gfhg1y
['2011']	2012	/m/047vnkj
['2011-02-15']	not_linked	not_linked
['2011-02-22']	not_linked	not_linked
['2011-03-19']	not_linked	not_linked
['2011-09-12']	not_linked	not_linked
['2012 Football League Cup Final']	not_linked	not_linked
['2012 Masters Tournament']	not_linked	not_linked
['2012 World Series']	not_linked	not_linked
['2012-02-07']	not_linked	not_linked
['2012-03-16']	not_linked	not_linked
['2013 Stanley Cup Finals']	not_linked	not_linked
['2014 Stanley Cup Finals']	not_linked	not_linked
['2014 UEFA Champions League Final']	not_linked	not_linked
['2014 World Series']	not_linked	not_linked
['2014-06-23']	not_linked	not_linked
['2015-04-02']	not_linked	not_linked
['29 Ashwin']	not_linked	not_linked
['3.048']	not_linked	not_linked
['30 Rock - Season 6']	30_Rock	/m/0d68qy
['45067']	not_linked	not_linked
['79735']	not_linked	not_linked
['94560']	not_linked	not_linked
['A Bronx Tale']	not_linked	not_linked
['A Study in Scarlet']	Scarlet	/m/04d18d
['ADX Florence']	not_linked	not_linked
['AFC North']	not_linked	not_linked
['AFC South']	Carolina_Panthers	/m/01y3c
['ALDI']	not_linked	not_linked
['ALF']	not_linked	not_linked
['AT&T Corporation']	AT&T	/m/08z129
['AT&T Park']	not_linked	not_linked
['AUD']	not_linked	not_linked
['Aaron Rodgers']	not_linked	not_linked
['Abarth']	not_linked	not_linked
['Abbottabad']	not_linked	not_linked
['Abdullah al-Thani']	Yasser_Arafat	/m/08849
['Abraham Lincoln']	Abraham_Lincoln	/m/0gzh
['Abraham Maslow']	not_linked	not_linked
['Abraham']	not_linked	not_linked
['Abrahamic religions']	Judaism-GB	/m/03_gx
['Acadia University']	Acadia_University	/m/0xxc
['Actor']	Actor-GB	/m/02hrh1q
['Adam Levine']	Adam_Levine	/m/044mfr
['Adam Morrison']	not_linked	not_linked
['Adam Reed']	not_linked	not_linked
['Adam Sandler']	Adam_Sandler	/m/0pz91
['Adam Smith']	Adam_Smith	/m/0tfc
['Addis Ababa']	Addis_Ababa	/m/0dttf
['Adolf Hitler']	Adolf_Hitler	/m/07_m9_
['Adrian Peterson']	not_linked	not_linked
['Adriatic Sea']	Adriatic_Sea	/m/0p_x
['Afghan afghani']	not_linked	not_linked
['Afghanistan']	Afghanistan	/m/0jdd
['Africa']	Africa	/m/0dg3n1
['African American']	African_American	/m/0x67
['African Union']	African_Union	/m/0gkjy
['Afrikaans Language']	Afrikaans_Language	/m/0x82
['Afro-Guyanese']	not_linked	not_linked
['Agatha Christie']	Agatha_Christie	/m/0ldd
['Aidan Davis']	not_linked	not_linked
['Aidan Quinn']	Aidan_Quinn	/m/045c66
['AirTran Airways']	Pan_American_World_Airways	/m/0ky6d
['Akihito']	not_linked	not_linked
['Akkad']	not_linked	not_linked
['Akkadian Empire']	not_linked	not_linked
['Akkadian language']	not_linked	not_linked
['Al Capone']	not_linked	not_linked
['Al Gore']	Al_Gore	/m/0d05fv
['Al-Qaeda']	al-Qaeda	/m/0v74
['Alabama']	Alabama	/m/0gyh
['Alan Thicke']	Alan_Thicke	/m/02wd48
['Alan']	not_linked	not_linked
['Alaska']	Alaska	/m/0hjy
['Albania']	Albania	/m/0jdx
['Albany High School']	Stuyvesant_High_School	/m/026036
['Albert Brooks']	Albert_Brooks	/m/013cr
['Albert Einstein']	Albert_Einstein	/m/0jcx
['Albert Pujols']	not_linked	not_linked
['Albert Speer']	not_linked	not_linked
['Albert, Prince Consort']	not_linked	not_linked
['Alberta']	Alberta	/m/0j95
['Alderaan']	not_linked	not_linked
['Alejandra Amarilla']	not_linked	not_linked
['Alex Borstein']	Alex_Borstein	/m/03jldb
['Alex Chilton']	not_linked	not_linked
['Alex Rodriguez']	Alex_Rodriguez	/m/01f492
['Alex Smith']	not_linked	not_linked
['Alexander Graham Bell']	William_J._Bell	/m/057d89
['Alexander Luthor']	not_linked	not_linked
['Alexandra of Denmark']	not_linked	not_linked
['Alexandria']	Alexandria	/m/013g3
['Alfonso Ribeiro']	not_linked	not_linked
['Algeria']	Algeria	/m/0h3y
['Alice Kim']	not_linked	not_linked
['Alice Stokes Paul']	not_linked	not_linked
['Alice Walker']	not_linked	not_linked
['Aliso Viejo']	Vallejo	/m/0gjcy
['Allen Iverson']	Allen_Iverson	/m/01sg7_
['Alltel']	not_linked	not_linked
['Alvin Smith']	not_linked	not_linked
['Alyson Stoner']	Alyson_Stoner	/m/02bwjv
['Amanda Grayson']	not_linked	not_linked
['Amanda Seyfried']	Amanda_Seyfried	/m/03zz8b
['Amazon Kindle']	not_linked	not_linked
['Amazon River']	not_linked	not_linked
['Amazon rainforest']	not_linked	not_linked
['Amazon.com']	Amazon.com	/m/0mgkg
['Amboise']	not_linked	not_linked
['Amelia Earhart']	Amelia	/m/0415ggl
['American Bulldog']	Bulldog	/m/01k3tq
['American Express']	not_linked	not_linked
['American Federation of Labor']	not_linked	not_linked
['American Football League']	National_Football_League	/m/059yj
['American Idol - Season 5']	not_linked	not_linked
['American League West']	National_League	/m/0h69c
['American League']	National_League	/m/0h69c
['American Red Cross']	not_linked	not_linked
['American Revolutionary War']	American_Revolutionary_War	/m/0jnh
['American football player']	Football_player	/m/0gl2ny2
['Amsterdam']	Amsterdam	/m/0k3p
['Amy Adams']	Amy_Adams	/m/0b25vg
['Amy Grant']	Amy_Grant	/m/010hn
['Anaheim']	Anaheim	/m/0k9p4
['Anakin Skywalker']	not_linked	not_linked
['Anal cancer']	not_linked	not_linked
['Ancestral Puebloans']	Indigenous_peoples_of_the_Americas	/m/0432mrk
['Ancient Egypt']	not_linked	not_linked
['Ancient Greek temple']	not_linked	not_linked
['Anders Celsius']	not_linked	not_linked
['Anderson Cooper 360°']	not_linked	not_linked
['Anderson Cooper']	not_linked	not_linked
['Anderson Silva']	not_linked	not_linked
['Andes']	Andes	/m/0p2n
['Andreas Vesalius']	not_linked	not_linked
['Andrew Carnegie']	not_linked	not_linked
['Andrew Cuomo']	Rivers_Cuomo	/m/01cv3n
['Andrew Jackson']	Andrew_Jackson	/m/0rlz
['Andrew Johnson']	not_linked	not_linked
['Andrew Young']	not_linked	not_linked
['Andrews']	not_linked	not_linked
['Andrés Segovia']	not_linked	not_linked
['Andy Hallett']	Andy_Hallett	/m/01vq3nl
['Andy Irons']	not_linked	not_linked
['Andy Murray']	not_linked	not_linked
['Andy Warhol']	Andy_Warhol	/m/0kc6
['Andy Williams']	Andy_Williams	/m/02lvtb
['Angelina Jolie']	Angelina_Jolie	/m/0f4vbz
['Anger Management']	Anger_Management	/m/02d003
['Anglicanism']	Anglicanism	/m/0n2g
['Angola']	Angola	/m/0j4b
['Ankhesenamun']	not_linked	not_linked
['Ann Romney']	not_linked	not_linked
['Anna Bligh']	not_linked	not_linked
['Anna Kendrick']	not_linked	not_linked
['Anna Nicole Smith']	Nicole_Richie	/m/022q32
['Anne Boleyn']	The_Other_Boleyn_Girl	/m/0gyy53
['Anne Frank']	not_linked	not_linked
['Anne Hathaway']	Anne_Hathaway	/m/02vntj
['Annie Leibovitz']	not_linked	not_linked
['Annie Oakley']	not_linked	not_linked
['Annie']	Annie	/m/02x6dqb
['Anthony Head']	not_linked	not_linked
['Anthony Kennedy']	not_linked	not_linked
['Anti-Lebanon mountains']	not_linked	not_linked
['Antoine Lavoisier']	not_linked	not_linked
['Antoni Gaudí']	Michelangelo_Antonioni	/m/09qc1
['Antonie van Leeuwenhoek']	not_linked	not_linked
['Antonio Vivaldi']	Michelangelo_Antonioni	/m/09qc1
['Aortic dissection']	not_linked	not_linked
['Aoyama, Minato, Tokyo']	not_linked	not_linked
['Apennine Mountains']	not_linked	not_linked
['Apostle Philip']	not_linked	not_linked
['Appalachian Mountains']	Appalachian_Mountains	/m/0lm0n
['Appalachian National Scenic Trail']	Appalachian_Mountains	/m/0lm0n
['Appendicitis']	not_linked	not_linked
['Appendix cancer']	not_linked	not_linked
['Apple Inc.']	Apple_Inc.	/m/0k8z
['April 23']	April	/m/0lkm
['Aquilegia caerulea']	not_linked	not_linked
['Arabic Language']	Arabic_Language	/m/0jzc
['Arabic alphabet']	Arabic_Language	/m/0jzc
['Arabs']	Arab_people	/m/0xff
['Arab–Israeli conflict']	not_linked	not_linked
['Aragorn']	not_linked	not_linked
['Archer']	not_linked	not_linked
['Area 51']	not_linked	not_linked
['Argentina']	Argentina	/m/0jgd
['Argentine peso']	not_linked	not_linked
['Ariel']	not_linked	not_linked
['Aristotle']	Aristotle	/m/0gz_
['Arizona Cardinals']	Arizona_Cardinals	/m/0ws7
['Arizona Diamondbacks']	Arizona_Diamondbacks	/m/0x0d
['Arizona State University']	Arizona_State_University	/m/0trv
['Arizona']	Arizona	/m/0vmt
['Arkansas State Capitol']	Arkansas	/m/0vbk
['Arkansas']	Arkansas	/m/0vbk
['Arlington Municipal Airport']	Airport	/m/0pd57
['Arlington National Cemetery']	Arlington_National_Cemetery	/m/0lbp_
['Arlington']	Arlington	/m/0nqph
['Armenia']	Armenia	/m/0jgx
['Armenian dram']	not_linked	not_linked
['Army Wives']	not_linked	not_linked
['Arnold Schwarzenegger']	Arnold_Schwarzenegger	/m/0tc7
['Arsenal F.C.']	Arsenal_F.C.	/m/0xbm
['Art Smith']	not_linked	not_linked
['Arthur Conan Doyle']	Arthur_Conan_Doyle	/m/0ky1
['Arthur Dove']	not_linked	not_linked
['Arthur Kipps']	not_linked	not_linked
['Arthur Miller']	Arthur_Miller	/m/0yfp
['Arthur']	not_linked	not_linked
['Artis Mills']	not_linked	not_linked
['Artistic gymnastics']	Artistic_gymnastics	/m/01hp22
['Aruba']	Aruba	/m/0j11
['Aruban florin']	not_linked	not_linked
['Arwen']	not_linked	not_linked
['Asa Philip Randolph']	not_linked	not_linked
['Asenath']	not_linked	not_linked
['Ashbridges Bay Wastewater Treatment Plant']	not_linked	not_linked
['Asheville']	Asheville	/m/0ydpd
['Ashley Greene']	not_linked	not_linked
['Asia']	Asia	/m/0j0k
['Asiana Airlines']	American_Airlines	/m/0z07
['Asif Ali Zardari']	not_linked	not_linked
['Associated Press Male Athlete of the Year']	Sportsman_of_the_Year	/m/02r9qt
['Association for the Study of African American Life and History']	African_National_Congress	/m/0_00
['Assyria']	not_linked	not_linked
['Aston Martin']	not_linked	not_linked
['Astoria Greengrass']	not_linked	not_linked
['Atheism']	Atheism	/m/0kpl
['Atlanta Braves']	Atlanta_Braves	/m/0x2p
['Atlanta Falcons']	Atlanta_Falcons	/m/0wsr
['Atlanta']	Atlanta	/m/013yq
['Atlantic Ocean']	Atlantic_Ocean	/m/0j3b
['Atlético Madrid']	Real_Madrid_C.F.	/m/06l22
['Attic Group']	not_linked	not_linked
['Atticus Finch']	Atticus_Ross	/m/02g40r
['Auburn University']	Auburn_University	/m/01wdj_
['Audi']	not_linked	not_linked
['Audie Murphy']	not_linked	not_linked
['Audrey Hepburn']	Audrey_Hepburn	/m/0dqcm
['Augusta National Golf Course']	Augusta	/m/01ktz1
['Augustine of Hippo']	Augustine_of_Hippo	/m/0w6w
['Augustus']	Augustus	/m/0ngg
['Auschwitz concentration camp']	The_Holocaust	/m/03hzt
['Austin']	Austin	/m/0vzm
['Australia']	Australia	/m/0chghy
['Australian Labor Party']	Australian_Labor_Party	/m/0q96
['Australian Open']	not_linked	not_linked
['Australian dollar']	Australian_dollar	/m/0kz1h
['Austria']	Austria	/m/0h7x
['Author']	not_linked	not_linked
['Autocracy']	not_linked	not_linked
['Avesta']	not_linked	not_linked
['Aviano Air Base']	not_linked	not_linked
['Aviva Stadium']	not_linked	not_linked
['Avril Lavigne']	Avril_Lavigne-US	/m/0161c2
['Axl Rose']	Axl_Rose	/m/01vv6xv
['Ayaan Hirsi Ali']	Ali	/m/01719t
['Ayn Rand']	Ayn_Rand	/m/0h25
['Ayrton Senna']	Senna	/m/0g4pl7z
['Azerbaijan']	Azerbaijan	/m/0jhd
['Azle']	not_linked	not_linked
['B. F. Skinner']	Frank_Skinner	/m/06lk0_
['Babe Ruth']	not_linked	not_linked
['Babylon']	not_linked	not_linked
['Bachelor of Laws']	Bachelor_of_Laws	/m/01rr_d
['Bad Teacher']	Bad_Teacher	/m/0cp0ph6
['Bahamas']	Bahamas	/m/0160w
['Bahamian dollar']	not_linked	not_linked
['Bain Capital']	not_linked	not_linked
['Bali']	Ali	/m/01719t
['Balkans']	Macedonia	/m/0bk25
['Ballistic trauma']	not_linked	not_linked
['Baltic Sea']	not_linked	not_linked
['Baltic region']	not_linked	not_linked
['Baltic states']	not_linked	not_linked
['Baltimore Orioles']	Baltimore_Orioles	/m/01d6g
['Baltimore Ravens']	Baltimore_Ravens	/m/01ct6
['Baltimore']	Baltimore	/m/094jv
['Bangalore']	Bangalore	/m/09c17
['Bangkok']	Bangkok	/m/0fn2g
['Bank of America Corporation']	Bank_of_America_Corporation	/m/01yx7f
['Barack Obama']	Barack_Obama	/m/02mjmr
['Barack Obama, Sr.']	Barack_Obama	/m/02mjmr
['Barbadian dollar']	not_linked	not_linked
['Barbados']	Barbados	/m/0162v
['Barbara Bush']	not_linked	not_linked
['Barbara Eden']	not_linked	not_linked
['Barbara Gordon']	not_linked	not_linked
['Barbara Stanwyck']	Barbara_Stanwyck	/m/0bw6y
['Barbiturate overdose']	Drug_overdose	/m/01tf_6
['Barcelona']	Barcelona	/m/01f62
['Barcelona–El Prat Airport']	not_linked	not_linked
['Barney & Friends']	Barney's_Version	/m/0cp0790
['Baron Papanoida']	not_linked	not_linked
['Barranquilla']	not_linked	not_linked
['Barry Bonds']	not_linked	not_linked
['Barry Switzer']	not_linked	not_linked
['Barry Zito']	not_linked	not_linked
['Bart Simpson']	not_linked	not_linked
['Baseball player']	not_linked	not_linked
['Basel']	Basel	/m/01k4f
['Bashar al-Assad']	not_linked	not_linked
['Basketball']	Basketball	/m/018w8
['Basque Country']	not_linked	not_linked
['Basque Language']	not_linked	not_linked
['Bass guitar']	Bass_guitar	/m/018vs
['Batman']	Batman	/m/01hp5
['Battle Scars: The Bud Moore Story']	not_linked	not_linked
['Battle of Antietam']	not_linked	not_linked
['Battle of Appomattox Court House']	not_linked	not_linked
['Battle of Chancellorsville']	not_linked	not_linked
['Battle of Falmouth']	Battle_of_Britain	/m/01jwxx
['Battle of Gettysburg']	Gettysburg	/m/0dzs0
['Battle of New Orleans']	not_linked	not_linked
['Battle of Passchendaele']	Battle_of_Passchendaele	/m/0c3mz
['Battle of San Juan Hill']	not_linked	not_linked
['Battle of Shiloh']	not_linked	not_linked
['Battle of Thermopylae']	not_linked	not_linked
['Battle of Verdun']	not_linked	not_linked
['Battle of Waterloo']	Battle_of_Britain	/m/01jwxx
['Battle of the Alamo']	not_linked	not_linked
['Bavaria']	Bavaria	/m/017v_
['Bay City']	Bay_City	/m/0v1xg
['Baybrook Mall']	not_linked	not_linked
['Baylor University']	Baylor_University	/m/01tx9m
['Beaumont']	Beaumont	/m/0104lr
['Beinn Bhreagh, Nova Scotia']	not_linked	not_linked
['Bel-Air']	not_linked	not_linked
['Belfast']	Belfast	/m/01l63
['Belgium']	Belgium	/m/0154j
['Belize']	Belize	/m/0164b
['Bella Abzug']	not_linked	not_linked
['Bella Swan']	not_linked	not_linked
['Belleville']	Belleville	/m/018dhx
['Belmont University']	Belmont_University	/m/01qdhx
['Ben Hall']	not_linked	not_linked
['Ben Roethlisberger']	not_linked	not_linked
['Ben Stiller']	Ben_Stiller	/m/0mdqp
['Benedict Arnold']	not_linked	not_linked
['Benghazi']	not_linked	not_linked
['Benito Mussolini']	Benito_Mussolini	/m/0177g
['Benjamin Franklin']	Benjamin_Franklin	/m/019fz
['Benjamin Gannet']	not_linked	not_linked
['Bergen-Belsen concentration camp']	not_linked	not_linked
['Berklee College of Music']	Berklee_College_of_Music	/m/02g839
['Berlin']	Berlin	/m/0156q
['Bermondsey']	not_linked	not_linked
['Bernard Madoff']	not_linked	not_linked
['Bernard']	not_linked	not_linked
['Bernie Focker']	not_linked	not_linked
['Bernie Mac']	Bernie_Mac	/m/02lj6p
['Bessie Smith']	not_linked	not_linked
['Beth Tweddle']	not_linked	not_linked
['Bethany Hamilton']	Lisa_Gay_Hamilton	/m/0306ds
['Bethel']	not_linked	not_linked
['Bethenny Frankel']	not_linked	not_linked
['Bethlehem']	Bethlehem	/m/013ksx
['Betty Draper']	not_linked	not_linked
['Betty White']	Betty_White	/m/025mb_
['Beveridge']	not_linked	not_linked
['Beverly Cleary']	Beverly	/m/0ty_b
['Beverly Hills, 90210 - Season 7']	Beverly_Hills,_90210	/m/0n2bh
['Beverly Hills, 90210']	Beverly_Hills,_90210	/m/0n2bh
['Bewitched']	Bewitched	/m/023ny6
['Beyoncé Knowles']	Michelle_Williams	/m/03mp9s
['Bigos']	not_linked	not_linked
['Bill Clinton']	Bill_Clinton	/m/0157m
['Bill Cowher']	not_linked	not_linked
['Bill Fagerbakke']	Bill_Fagerbakke	/m/01x0sy
['Bill Gates']	not_linked	not_linked
['Bill Neukom']	not_linked	not_linked
['Bill Rancic']	not_linked	not_linked
['Bill Richardson']	Ralph_Richardson	/m/015np0
['Bill Ritter']	John_Ritter	/m/01nzz8
['Billy Beane']	not_linked	not_linked
['Billy Burke']	not_linked	not_linked
['Billy Dee Williams']	Billy_Dee_Williams	/m/027_sn
['Billy Elliot']	not_linked	not_linked
['Billy']	not_linked	not_linked
['Birmingham']	Birmingham	/m/0k33p
['Bishop Strachan School']	Catholic_school	/m/052q4j
['Bishop']	Bishop	/m/01b7b
['Bitterroot Mountains']	not_linked	not_linked
['Blackfoot Confederacy']	not_linked	not_linked
['Blackstreet']	not_linked	not_linked
['Blake Griffin']	not_linked	not_linked
['Blake Lively']	Blake_Lively	/m/06_bq1
['Blethen Maine Newspapers, Inc.']	not_linked	not_linked
['Blue Hills Bank Pavilion']	not_linked	not_linked
['Blue Island']	not_linked	not_linked
['Blue Ivy']	not_linked	not_linked
['Bob Barker']	not_linked	not_linked
['Bob Dylan']	Bob_Dylan	/m/01vrncs
['Bob Kelso']	not_linked	not_linked
['Bob Marley Mausoleum']	not_linked	not_linked
['Bob Marley']	Bob_Marley	/m/0bkf4
['Bob McDonnell']	not_linked	not_linked
['Bob Ross']	not_linked	not_linked
['Bobby Darin']	Bobby_Darin	/m/0pj9t
['Boeing']	Boeing	/m/0178g
['Bolivia']	Bolivia	/m/0165v
['Bollington']	not_linked	not_linked
['Bonn']	Bonn	/m/0150n
['Book of Revelation']	not_linked	not_linked
['Boris Johnson']	not_linked	not_linked
['Boris Yeltsin']	not_linked	not_linked
['Bosnia and Herzegovina']	Bosnia_and_Herzegovina	/m/0166b
['Boston Bruins']	Boston_Bruins	/m/0j2zj
['Boston Celtics']	Boston_Celtics	/m/0bwjj
['Boston Harbor']	not_linked	not_linked
['Boston Latin School']	Boston_Latin_School	/m/02kj7g
['Boston Red Sox']	Boston_Red_Sox	/m/01d5z
['Boston Redskins']	Washington_Redskins	/m/084l5
['Boston Tea Party']	not_linked	not_linked
['Boston University']	Boston_University	/m/0gl5_
['Boston']	Boston	/m/01cx_
['Botanist']	not_linked	not_linked
['Boucherville']	not_linked	not_linked
['Boudica']	not_linked	not_linked
['Brad Paisley']	Brad_Paisley	/m/03gr7w
['Brad Pitt']	Brad_Pitt	/m/0c6qh
['Bradenton']	Bradenton	/m/0rmwd
['Bradley Cooper']	Bradley_Cooper	/m/01_xtx
['Bradley Walsh']	not_linked	not_linked
['Brandi Glanville']	not_linked	not_linked
['Brandon Dubinsky']	not_linked	not_linked
['Brandon Jacobs']	not_linked	not_linked
['Brandon Roy']	not_linked	not_linked
['Brandt Snedeker']	not_linked	not_linked
['Brasília']	not_linked	not_linked
['Brazil national football team']	Brazil_national_football_team	/m/01352_
['Brazil']	Brazil	/m/015fr
['Brazilian real']	not_linked	not_linked
['Bree Tanner']	not_linked	not_linked
['Brembo']	not_linked	not_linked
['Bremerton']	Bremerton	/m/010rvx
['Brenda Seagal']	not_linked	not_linked
