entity_name	entity_name_fb
['Azle']	not_linked
['B. F. Skinner']	Frank_Skinner
['Babe Ruth']	not_linked
['Babylon']	not_linked
['Bachelor of Laws']	Bachelor_of_Laws
['Bad Teacher']	Bad_Teacher
['Bahamas']	Bahamas
['Bahamian dollar']	not_linked
['Bain Capital']	not_linked
['Bali']	Ali
['Balkans']	Macedonia
['Ballistic trauma']	not_linked
['Baltic Sea']	not_linked
['Baltic region']	not_linked
['Baltic states']	not_linked
['Baltimore Orioles']	Baltimore_Orioles
['Baltimore Ravens']	Baltimore_Ravens
['Baltimore']	Baltimore
['Bangalore']	Bangalore
['Bangkok']	Bangkok
['Bank of America Corporation']	Bank_of_America_Corporation
['Barack Obama']	Barack_Obama
['Barack Obama, Sr.']	Barack_Obama
['Barbadian dollar']	not_linked
['Barbados']	Barbados
['Barbara Bush']	not_linked
['Barbara Eden']	not_linked
['Barbara Gordon']	not_linked
['Barbara Stanwyck']	Barbara_Stanwyck
['Barbiturate overdose']	Drug_overdose
['Barcelona']	Barcelona
['Barcelona–El Prat Airport']	not_linked
['Barney & Friends']	Barney's_Version
['Baron Papanoida']	not_linked
['Barranquilla']	not_linked
['Barry Bonds']	not_linked
['Barry Switzer']	not_linked
['Barry Zito']	not_linked
['Bart Simpson']	not_linked
['Baseball player']	not_linked
['Basel']	Basel
['Bashar al-Assad']	not_linked
['Basketball']	Basketball
['Basque Country']	not_linked
['Basque Language']	not_linked
['Bass guitar']	Bass_guitar
['Batman']	Batman
['Battle Scars: The Bud Moore Story']	not_linked
['Battle of Antietam']	not_linked
['Battle of Appomattox Court House']	not_linked
['Battle of Chancellorsville']	not_linked
['Battle of Falmouth']	Battle_of_Britain
['Battle of Gettysburg']	Gettysburg
['Battle of New Orleans']	not_linked
['Battle of Passchendaele']	Battle_of_Passchendaele
['Battle of San Juan Hill']	not_linked
['Battle of Shiloh']	not_linked
['Battle of Thermopylae']	not_linked
['Battle of Verdun']	not_linked
['Battle of Waterloo']	Battle_of_Britain
['Battle of the Alamo']	not_linked
['Bavaria']	Bavaria
['Bay City']	Bay_City
['Baybrook Mall']	not_linked
['Baylor University']	Baylor_University
['Beaumont']	Beaumont
['Beinn Bhreagh, Nova Scotia']	not_linked
['Bel-Air']	not_linked
['Belfast']	Belfast
['Belgium']	Belgium
['Belize']	Belize
['Bella Abzug']	not_linked
['Bella Swan']	not_linked
['Belleville']	Belleville
['Belmont University']	Belmont_University
['Ben Hall']	not_linked
['Ben Roethlisberger']	not_linked
['Ben Stiller']	Ben_Stiller
['Benedict Arnold']	not_linked
['Benghazi']	not_linked
['Benito Mussolini']	Benito_Mussolini
['Benjamin Franklin']	Benjamin_Franklin
['Benjamin Gannet']	not_linked
['Bergen-Belsen concentration camp']	not_linked
['Berklee College of Music']	Berklee_College_of_Music
['Berlin']	Berlin
['Bermondsey']	not_linked
['Bernard Madoff']	not_linked
['Bernard']	not_linked
['Bernie Focker']	not_linked
['Bernie Mac']	Bernie_Mac
['Bessie Smith']	not_linked
['Beth Tweddle']	not_linked
['Bethany Hamilton']	Lisa_Gay_Hamilton
['Bethel']	not_linked
['Bethenny Frankel']	not_linked
['Bethlehem']	Bethlehem
['Betty Draper']	not_linked
['Betty White']	Betty_White
['Beveridge']	not_linked
['Beverly Cleary']	Beverly
['Beverly Hills, 90210 - Season 7']	Beverly_Hills,_90210
['Beverly Hills, 90210']	Beverly_Hills,_90210
['Bewitched']	Bewitched
['Beyoncé Knowles']	Michelle_Williams
['Bigos']	not_linked
['Bill Clinton']	Bill_Clinton
['Bill Cowher']	not_linked
['Bill Fagerbakke']	Bill_Fagerbakke
['Bill Gates']	not_linked
['Bill Neukom']	not_linked
['Bill Rancic']	not_linked
['Bill Richardson']	Ralph_Richardson
['Bill Ritter']	John_Ritter
['Billy Beane']	not_linked
['Billy Burke']	not_linked
['Billy Dee Williams']	Billy_Dee_Williams
['Billy Elliot']	not_linked
['Billy']	not_linked
['Birmingham']	Birmingham
['Bishop Strachan School']	Catholic_school
['Bishop']	Bishop
['Bitterroot Mountains']	not_linked
['Blackfoot Confederacy']	not_linked
['Blackstreet']	not_linked
['Blake Griffin']	not_linked
['Blake Lively']	Blake_Lively
['Blethen Maine Newspapers, Inc.']	not_linked
['Blue Hills Bank Pavilion']	not_linked
['Blue Island']	not_linked
['Blue Ivy']	not_linked
['Bob Barker']	not_linked
['Bob Dylan']	Bob_Dylan
['Bob Kelso']	not_linked
['Bob Marley Mausoleum']	not_linked
['Bob Marley']	Bob_Marley
['Bob McDonnell']	not_linked
['Bob Ross']	not_linked
['Bobby Darin']	Bobby_Darin
['Boeing']	Boeing
['Bolivia']	Bolivia
['Bollington']	not_linked
['Bonn']	Bonn
['Book of Revelation']	not_linked
['Boris Johnson']	not_linked
['Boris Yeltsin']	not_linked
['Bosnia and Herzegovina']	Bosnia_and_Herzegovina
['Boston Bruins']	Boston_Bruins
['Boston Celtics']	Boston_Celtics
['Boston Harbor']	not_linked
['Boston Latin School']	Boston_Latin_School
['Boston Red Sox']	Boston_Red_Sox
['Boston Redskins']	Washington_Redskins
['Boston Tea Party']	not_linked
['Boston University']	Boston_University
['Boston']	Boston
['Botanist']	not_linked
['Boucherville']	not_linked
['Boudica']	not_linked
['Brad Paisley']	Brad_Paisley
['Brad Pitt']	Brad_Pitt
['Bradenton']	Bradenton
['Bradley Cooper']	Bradley_Cooper
['Bradley Walsh']	not_linked
['Brandi Glanville']	not_linked
['Brandon Dubinsky']	not_linked
['Brandon Jacobs']	not_linked
['Brandon Roy']	not_linked
['Brandt Snedeker']	not_linked
['Brasília']	not_linked
['Brazil national football team']	Brazil_national_football_team
['Brazil']	Brazil
['Brazilian real']	not_linked
['Bree Tanner']	not_linked
['Brembo']	not_linked
['Bremerton']	Bremerton
['Brenda Seagal']	not_linked
['Brenda Song']	not_linked
['Brentwood']	not_linked
['Brett Favre']	Brett_Favre
['Brett Gardner']	not_linked
['Brian Dawkins']	Richard_Dawkins
['Brian Williams']	not_linked
['Bridgit Mendler']	not_linked
['Brigham Young University']	Brigham_Young_University
['Bright House Field']	not_linked
['Bristol City F.C.']	Bristol_City_F.C.
['Bristol Palin']	Sarah_Palin
['British America']	not_linked
['British Columbia']	British_Columbia
['Britney Spears']	Britney_Spears
['Britt McKillip']	not_linked
['Brittany Murphy']	Brittany_Murphy
['Brody Jenner']	Brody_Jenner
['Bronze']	not_linked
['Brookline']	Brookline
['Brooklyn Nets']	Brooklyn_Nets
['Brooklyn']	Brooklyn
['Bruce Arians']	not_linked
['Bruce Lee']	Bruce_Lee
['Bruce Wayne']	not_linked
['Brussels']	Brussels
['Brythonic Group']	not_linked
['Buddhism']	Buddhism
['Buenos Aires']	Buenos_Aires
['Bungie']	not_linked
['Burj Khalifa']	not_linked
['Burmese Language']	not_linked
['Burmese cat']	not_linked
['Burne Hogarth']	not_linked
['Burundi']	Burundi
['Busch Stadium']	not_linked
['Bush']	Bus
['Bushey Meads School']	Gresham's_School
['Bushranger']	not_linked
['Buzz Williams']	not_linked
['Byron Scott']	not_linked
['Byzantine Empire']	Byzantine_Empire
['Béla Fleck and the Flecktones']	not_linked
['C. S. Lewis']	C._S._Lewis
['CNN']	CNN
['Cairo']	Cairo
['Caitlyn Geller']	not_linked
['Caitlyn Jenner']	not_linked
['Caius']	not_linked
['Calabria']	Calabria
['Caldicott School']	not_linked
['Calgary']	Calgary
['California Substance Abuse Treatment Facility and State Prison, Corcoran']	not_linked
['California grizzly bear']	not_linked
['California']	California
['Callista Gingrich']	not_linked
['Calvin Coolidge']	Theodore_Roosevelt
['Cam Newton']	not_linked
['Cambodia']	Cambodia
['Cameron Crowe']	Cameron_Crowe
['Camille Grammer']	not_linked
['Canada']	Canada
['Canadian County']	Ontario_County
['Canadian dollar']	Canadian_dollar
['Canadian province']	Alberta
['Cancer']	Cancer
['Cancún International Airport']	not_linked
['Cancún']	not_linked
['Candace']	not_linked
['Candice Crawford']	not_linked
['Cardiac arrest']	Cardiac_arrest
['Cardinal']	Cardinal
['Cardiovascular disease']	Cardiovascular_disease
['Caribbean']	Caribbean
['Carl Edwards']	not_linked
['Carl Linnaeus']	not_linked
['Carl Wilson']	not_linked
['Carlos Boozer']	not_linked
['Carlos Peña']	Carlos_Ruiz
['Carlos Santana']	Carlos_Santana
['Carlton Banks']	not_linked
['Carmel High School']	New_Trier_High_School
['Carmelo Anthony']	Carmelo_Anthony
['Carmen Electra']	Carmen_Electra
['Carolina Hurricanes']	Carolina_Hurricanes
['Carolina Panthers']	Carolina_Panthers
['Caroline Kennedy']	Kathleen_Kennedy
['Carpathian Mountains']	not_linked
['Carrie Fisher']	Carrie_Fisher
['Carrie Underwood']	Carrie_Underwood
['Carter G. Woodson']	not_linked
['Carthage']	Carthage
['Cass County']	Cass_County
['Cassie Bernall']	not_linked
['Castilian Group']	not_linked
['Castilleja de la Cuesta']	not_linked
['Catalonia']	Catalonia
['Catherine Tate']	Catherine_Tate
['Catherine of Aragon']	not_linked
['Catherine, Duchess of Cambridge']	not_linked
['Catholicism']	Catholicism
['Cave of the Patriarchs']	not_linked
['Cayman Islands']	Cayman_Islands
['Central African CFA franc']	not_linked
['Central America']	Latin_America
['Central European Time Zone']	Central_European_Time_Zone-US
['Central Federal District']	not_linked
['Central Time Zone']	Central_Time_Zone
['CenturyLink Field']	not_linked
['Cercle Artístic de Sant Lluc']	not_linked
['Cerebral edema']	Cerebral_hemorrhage
['Cerebral hemorrhage']	Cerebral_hemorrhage
['Cerro Gordo County']	Santa_Fe_County
['Cervical cancer']	not_linked
['Chad Michael Murray']	not_linked
['Chalmette']	not_linked
['Channing Tatum']	Channing_Tatum
['Charlemagne']	not_linked
['Charles Babbage']	not_linked
['Charles Barkley']	not_linked
['Charles City County']	Charles_County
['Charles Darwin']	Charles_Darwin
['Charles Dickens']	Charles_Dickens
['Charles Edward Stuart']	not_linked
['Charles Philip Arthur George']	not_linked
['Charles R. Drew']	not_linked
['Charles W. Fairbanks']	Douglas_Fairbanks
['Charles, Prince of Wales']	Charles,_Prince_of_Wales
['Charlie Chaplin']	Charlie_Chaplin
['Charlie Hunnam']	not_linked
['Charlie Sheen']	Charlie_Sheen
['Charlotte Hornets']	Charlotte_Bobcats
['Charlotte']	Charlotte
['Charlottesville']	Charlottesville
['Charlton Heston']	Charlton_Heston
['Chase Field']	not_linked
['Checotah']	not_linked
['Cheers']	Cheers
['Chelsea F.C.']	Chelsea_F.C.
['Chelsea Kane']	not_linked
['Cheltenham Gold Cup']	not_linked
['Cher']	Cher
['Chesapeake Bay Bridge']	Golden_Gate_Bridge
['Chesapeake Bay']	Chesapeake
['Chesapeake Energy Arena']	not_linked
['Chester A. Arthur']	Arthur_Kennedy
['Chicago Bears']	Chicago_Bears
['Chicago Blackhawks']	Chicago_Blackhawks
['Chicago Bulls']	Chicago_Bulls
['Chicago Cubs']	Chicago_Cubs
['Chicago White Sox']	Chicago_White_Sox
['Chicago']	Chicago
['Chick Hicks']	not_linked
['Chickasaw']	not_linked
['Chief Justice of the United States']	not_linked
['Chiefs']	Kansas_City_Chiefs
['Children of a Lesser God']	not_linked
['Chile']	Chile
['Chilean peso']	not_linked
['China']	China
['Chinese language']	Chinese_language
['Chipper Jones']	not_linked
['Chowchilla']	not_linked
['Chris Colfer']	Chris_Colfer
['Chris Cooley']	not_linked
['Chris Farley']	not_linked
['Chris Hemsworth']	not_linked
['Chris Humphrey']	not_linked
['Chris Ivery']	not_linked
['Chris Paul']	Chris_Paul
['Chris Riley']	not_linked
['Chris Rock']	Chris_Rock
['Chrissy Teigen']	not_linked
['Christchurch']	Christchurch
['Christiaan Barnard']	not_linked
['Christian Bale']	Christian_Bale
['Christian Grey']	not_linked
['Christianity']	Christianity
['Christina Aguilera']	Christina_Aguilera
['Christine Gregoire']	not_linked
['Christopher Columbus']	Christopher_Columbus
['Christopher Emmanuel Paul II']	not_linked
['Christopher Lee']	Christopher_Lee
['Christopher Plummer']	Christopher_Plummer
['Christy Oglevee']	not_linked
['Chrysler Group LLC']	Chrysler_Group_LLC
['Chuck Hughes']	not_linked
['Chuck Pagano']	not_linked
['Chula Vista High School']	Beverly_Hills_High_School
['Cincinnati Bengals']	Cincinnati_Bengals
['Cincinnati Reds']	Cincinnati_Reds
['Cincinnati']	Cincinnati
['Cindy Sherman']	not_linked
['City of Brussels']	Brussels
['City of David']	not_linked
['Claire Danes']	Claire_Danes
['Clara Barton']	not_linked
['Clarksville']	not_linked
['Claude Debussy']	Claude_Debussy
['Claude Monet']	not_linked
['Claudius']	not_linked
['Clay Matthews III']	not_linked
['Clearwater Air Park']	Clearwater
['Clearwater']	Clearwater
['Clemson University']	Clemson_University
['Cleopatra']	Cleopatra
['Cletus Hogg']	not_linked
['Cleveland Browns']	Cleveland_Browns
['Cleveland Cavaliers']	Cleveland_Cavaliers
['Cleveland Indians']	Cleveland_Indians
['Cleveland']	Cleveland
['Cliff Lee']	not_linked
['Clutch']	not_linked
['Coca-Cola']	The_Coca-Cola_Company
['Cocaine overdose']	Drug_overdose
['Colin Kaepernick']	not_linked
['College/University']	University
['CollegeHumor']	not_linked
['Colombia']	Colombia
['Colonel Sanders']	not_linked
['Colorado Eagles']	Eagles
['Colorado River']	Missouri_River
['Colorado Springs']	Colorado_Springs
['Colorado Technical University']	University_of_Northern_Colorado
['Colorado']	Colorado
['Colosseum']	not_linked
['Columbia Lake']	Columbia_River
['Columbia River']	Columbia_River
